gene_accession,LBB02e_t2_M_QC,LBB03u_t2_M_QC,LBB05u_t2_M_QC,LBB04u_t2_M_QC,LBB01e_t2_M_QC,LBB03e_t2_M_QC,LBB02u_t2_M_QC,LBB01u_t2_M_QC,LBB05e_t2_M_QC,LBB04e_t2_M_QC
MEG_8247/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MEXC1,0,0,0,0,36,0,0,0,0,0
MEG_1162/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,4,0,0,1,0,0,0,0
MEG_4060/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,18,0,0,0,0,0,0
MEG_7525/Drugs/Glycopeptides/VanC-type_resistance_protein/VANTC,0,0,0,74,84,0,0,0,0,0
MEG_6591/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,8,0,0,0
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,22,4,18,26,42,32,22,16,40,14
MEG_7165/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,0,2,5,0,0,0,0,0,0
MEG_8451/Drugs/Multi-drug_resistance/MDR_regulator/PARR,0,0,0,0,0,2,0,0,0,0
MEG_1743/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMED,0,0,0,38,34,0,0,0,0,0
MEG_7237/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,6,0,2,20,8,8,0,5,8
MEG_3250/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,12,0,0,0,42,0,21,0,15
MEG_2806/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,2,0,0,9,2,0,0,14
MEG_3748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,0,0,0,0,45,0,0,78,0
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,0,2,2,0,0,0,0,0,0
MEG_2378/Drugs/betalactams/Class_A_betalactamases/CTX,4,0,4,0,0,0,0,0,37,4
MEG_3371/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,0,22,0,0,0
MEG_5142/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,12,0,0
MEG_8650/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,35,0,0,25,0,0,0
MEG_2805/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,5,0,0,0,52
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,10,0,0,12,0,0,0,0
MEG_2980/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,0,0,0,8,0,0,0,0
MEG_309/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,8,0,0,0,0,0
MEG_406/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,0,0,0,0,0,0,31,0
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,16,0,0,0,0,0,0,0,0
MEG_3242/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,224,243,428,342,387,617,310,359,429,330
MEG_7137/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,24,7,21,30,55,40,39,48,66,55
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,10,0,22,0,28,22,0,0,32,0
MEG_2725/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,0,0,0,0,0,24,0,0,35,0
MEG_5787/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PITA,0,0,32,0,0,72,0,0,0,0
MEG_7859/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUC,0,0,7,0,0,0,0,0,0,0
MEG_1170/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSP,0,0,0,42,38,34,0,0,0,0
MEG_1583/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,12,0,0,0,0,0
MEG_4105/Drugs/betalactams/Class_B_betalactamases/MYO,0,0,0,0,54,0,0,0,0,0
MEG_8154/Drugs/Spiropyrimidinetriones/Zoliflodacin-resistant_DNA_topoisomerases/GYRBZ/RequiresSNPConfirmation,59,101,116,80,146,142,196,130,161,130
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,83,0,56,114,0,0,158,0
MEG_6107/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,38,141,75,94,151,102,126,183,73
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,31,66,92,54,55,110,75,109,73,80
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,11,13,12,14,16,14,16,24,31,30
MEG_2701/Biocides/Acid_resistance/Acid_resistance_protein/EEFA,0,0,6,0,0,0,0,0,0,0
MEG_7118/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,34,26,36,39,82,94,67,105,175,154
MEG_4101/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXB,0,0,0,0,0,32,0,0,49,0
MEG_3200/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,88,54,319,191,300,192,216,197,181,620
MEG_3911/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,0,0,14,0,0,0,0,0,0
MEG_7533/Drugs/Glycopeptides/VanL-type_resistance_protein/VANTML,0,0,0,48,38,0,0,0,20,0
MEG_4666/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,10,0,0,0,0,0
MEG_1485/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADC,16,0,36,22,36,16,14,38,18,16
MEG_3590/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,28,0,0,0,0,0,0,0,0
MEG_2084/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,8,0,36,0,4,29,0,0,33,0
MEG_7061/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,0,2,15,0,0,0,8,2
MEG_7307/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,107,211,274,224,283,376,418,393,456,333
MEG_2720/Biocides/Multi-biocide_resistance/Multi-biocide_MATE_efflux_pump/EMMDR,0,0,0,0,0,30,0,0,20,0
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,6,0,0,0,0,2
MEG_1164/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,5,0,0,0,0,0,0,0
MEG_7148/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,16,24,29,53,33,53,47,92,107
MEG_7230/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,14,7,14,22,32,18,6,14,22,18
MEG_2089/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,16,14,7,0,14,30,2,0,29,0
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,56,78,72,0,0,48,0
MEG_989/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,14,0,0,0,0,0,0,0
MEG_6851/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,0,0,0,18,0,0,0,0,10,0
MEG_2583/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRK,0,0,0,6,0,0,0,0,0,0
MEG_7067/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,7,21,20,8,10,24,15,17,49,10
MEG_1003/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,0,0,0,0,0,0,0,16
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,13,12,9,14,21,30,15,28,43,32
MEG_5825/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,6,0,0,6,0,0,0,0,0,0
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,56,71,82,57,72,180,118,108,214,96
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,22,0,0,136,0,110,0,0
MEG_4210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,0,0,0,66,0,0,0,0,0
MEG_8271/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMG,10,0,0,0,0,0,0,0,0,0
MEG_1046/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,3,9,1,6,8,11,5,15,10,11
MEG_6605/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_6628/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,2,12,11,8,13,21,70,11,21,11
MEG_7172/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,8,2,6,12,8,14,8,4,6,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,18,8,27,38,71,42,34,33,41,32
MEG_6540/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,0,0,0,32,0,0,39,0
MEG_2702/Biocides/Acid_resistance/Acid_resistance_protein/EEFX,0,0,0,2,4,0,0,0,0,0
MEG_6109/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,60,115,131,168,149,188,248,224,214,188
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,32,16,0,0,32,0,30,19,4
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,4,12,5,16,12,10,4,15,9
MEG_6842/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6678/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,2,0,0,0,0,0,6
MEG_6111/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,36,43,89,46,93,77,62,63,92,154
MEG_1314/Drugs/betalactams/Class_A_betalactamases/BLASME,0,0,0,0,10,0,0,0,0,0
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,3,8,0,18,22,12,27,23,17,17
MEG_6947/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,75,52,35,45,78,60,30,0
MEG_8692/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/SDRM,0,0,0,30,0,0,0,0,0,0
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,5,0,0,0,4,0,0
MEG_1009/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,34,24,0,0,0,0,0
MEG_2435/Drugs/betalactams/Class_A_betalactamases/CTX,4,0,0,0,2,0,0,0,14,0
MEG_1581/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,16,0,0
MEG_6821/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3984/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,250,153,240,250,495,332,249,286,393,169
MEG_3235/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,70,0,0,0,0,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,56
MEG_8678/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,52,84,137,70,60,103,122,155,144,56
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,3,2,0,12,4,11,11,3,0
MEG_8252/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,258,806,653,861,509,1240,1352,1340,1056,1004
MEG_6730/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_8014/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATT,0,0,0,0,8,0,0,0,0,0
MEG_3981/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,4725,2603,6814,6259,12763,5593,4722,2344,4539,3086
MEG_2132/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,54,65,104,112,63,143,63,80,104,44
MEG_7982/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,0,0,0,10,0
MEG_7040/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,55,90,133,142,122,187,122,129,191,121
MEG_7838/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,0,0,0,0,0,18,0,0,0
MEG_6617/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,7,24,24,31,35,30,76,25,60,27
MEG_6831/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_17/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC2-PRIME,0,0,0,34,0,0,0,0,0,0
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,222,314,378,313,396,515,325,406,424,243
MEG_6838/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,16,0,0,23,0,0,47,0
MEG_6593/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_6589/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_8716/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,35,0,31,65,62,71,51,57,103,0
MEG_6734/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6587/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_7207/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,0,0,0,0,0,0,0,0,0
MEG_2940/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,38,0,36,0,0,0,0
MEG_6143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/RPSJ/RequiresSNPConfirmation,0,0,0,5,0,0,0,0,1,0
MEG_6093/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,415,319,421,615,1005,793,579,838,996,506
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,33,11,0,6,0,26
MEG_5850/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACK,0,0,0,0,0,0,0,0,12,0
MEG_3246/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,64,42,108,68,103,83,0,92,101,76
MEG_7047/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,39,45,104,77,94,129,109,113,127,94
MEG_6621/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,9,11,11,12,15,25,40,16,34,17
MEG_8249/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,4872,5802,10598,8238,10777,18153,8663,10573,15961,8963
MEG_7169/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,12,0,10,20,44,19,9,10,25,22
MEG_7974/Drugs/betalactams/Class_C_betalactamase_regulator/AMPCR/RequiresSNPConfirmation,4,0,0,0,0,0,0,0,0,0
MEG_7214/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,20,32,32,35,77,60,39,41,92,49
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,606,516,1158,753,1532,1159,846,852,1705,2101
MEG_6951/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3893/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,12,0,0,0,0,0,0
MEG_6165/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,20,0,0,0,0,0,0
MEG_7584/Drugs/Glycopeptides/VanC-type_resistance_protein/VANXYC,0,0,0,26,0,0,0,0,20,0
MEG_8675/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOCR/RequiresSNPConfirmation,377,264,450,494,839,650,412,577,845,388
MEG_7175/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,0,2,0
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,13,5,3,9,22,20,14,29,25,35
MEG_8445/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,12,0
MEG_1544/Drugs/betalactams/Class_A_betalactamases/CARB,0,0,0,0,0,0,35,0,0,0
MEG_7129/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,18,21,22,48,55,37,51,59,72
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,11,10,0,0,7,4,0,8,0
MEG_6964/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,2130,2031,3504,2704,5723,4533,3937,4011,8336,7324
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,0,0,5,0,56,43,0,0,23,0
MEG_1006/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,0,16,10,0,0,0,16,0
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,2,0,11,0,7
MEG_6774/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_2144/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,0,2
MEG_6889/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7257/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TLRCM,0,0,0,0,0,0,72,0,0,0
MEG_3069/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSD,0,0,0,0,0,16,0,0,0,0
MEG_2964/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,7,0,0,0
MEG_7001/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET48,0,0,0,0,16,0,0,0,0,0
MEG_7164/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,3,0,0,0,0,0,0,0,0,0
MEG_702/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADEN,0,0,0,0,0,0,0,10,0,0
MEG_8253/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,148,439,319,459,227,513,804,694,510,490
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,0,0,1,0,0,20,0,0,10,0
MEG_761/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,4,0,0,17,0,0,0
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,4,0,0,0,0,0,0
MEG_3890/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,8,0,0,0,0,0
MEG_8639/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/POXT,0,32,0,54,130,0,64,0,24,0
MEG_7004/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET51,0,0,0,0,0,0,0,18,0,0
MEG_3313/Drugs/betalactams/Class_A_betalactamases/IMI,0,0,0,0,12,0,0,0,0,0
MEG_7264/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,14,0,0,8,0
MEG_2434/Drugs/betalactams/Class_A_betalactamases/CTX,214,323,445,379,423,734,410,584,675,485
MEG_2770/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,0,20,0
MEG_8688/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALB,48,0,84,112,96,84,94,94,90,0
MEG_1192/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,0,0,0,0,0,9,0,0,1,0
MEG_3592/Drugs/MLS/Lincosamide_nucleotidyltransferases/LIN,0,0,0,20,0,0,40,0,36,0
MEG_3857/Metals/Mercury_resistance/Mercury_resistance_protein/MERC,0,0,0,0,6,0,0,0,0,0
MEG_1182/Biocides/Acid_resistance/Acid_resistance_protein/ASR,0,0,0,4,3,0,4,0,0,0
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,23,36,59,59,101,69,67,75,128,111
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,108,15,15,37,69,26,11,22,70
MEG_7309/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,61,104,166,145,147,223,100,179,257,118
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,58,26,0,38,78,28,54,32,0
MEG_3429/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/INHA/RequiresSNPConfirmation,0,0,0,5,0,0,0,0,0,0
MEG_5370/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,42,92,0,0,0,0,0,0
MEG_3446/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/KATG/RequiresSNPConfirmation,0,0,0,0,0,0,0,8,0,0
MEG_6153/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/RUVB,4,0,0,1,0,0,0,0,0,0
MEG_1488/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADX,34,44,16,36,0,58,18,32,18,10
MEG_4215/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/NPMA,0,0,0,0,14,0,0,0,0,0
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,40,60,83,32,72,50,89,100,65,52
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,124,116,224,206,270,242,244,217,347,280
MEG_3603/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,10,0,0,0,0,0,0
MEG_8674/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB,464,336,542,592,894,797,549,764,1022,521
MEG_4075/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRE,0,0,0,46,50,0,64,0,0,0
MEG_7300/Drugs/betalactams/Class_B_betalactamases/TTU,0,0,0,0,0,0,0,0,8,0
MEG_2085/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,0,0,0,0,27,0,0,30,0
MEG_6052/Metals/Chromium_resistance/Chromium_resistance_protein/RECG,0,0,0,6,0,0,0,8,0,0
MEG_2795/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,0,0,2,0,8
MEG_1176/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,0,0,0,0,0,0,1
MEG_3447/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KDEA,0,0,14,0,0,18,0,0,28,0
MEG_3287/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPA,0,0,0,0,0,10,0,0,27,0
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,0,0,18,0,0,58,0,0,52,0
MEG_7334/Drugs/Glycopeptides/VanA-type_resistance_protein/VAN,0,0,0,0,0,0,4,0,0,0
MEG_6140/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,0,0,0,0,0,7,0,0,8,0
MEG_3189/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,48,0,0,70,35,16,65,0
MEG_3188/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,50,0,38,0,50,61,101,67,0,0
MEG_4/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1443,1642,2325,1995,3463,3065,3033,2765,4932,4201
MEG_6611/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_6592/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_6146/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSC/RequiresSNPConfirmation,1162,1372,2311,1746,2653,3479,2069,2377,3337,2632
MEG_4171/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,0,2,0,0,0,0,0,0,0
MEG_4059/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,4,0,0,0,0,0,0
MEG_3739/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,0,0,0,0,0,0,14,0
