gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_4210/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,0,0,0,0,32,0,0,0,0
MEG_7227/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,5,0,2,7,2,2,0,0
MEG_440/Drugs/betalactams/Class_C_betalactamases/ACT,0,1,0,0,0,0,0,0,0,0
MEG_7824/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEB,30,26,43,65,19,77,72,63,47,43
MEG_7864/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/ZRAS,0,0,0,0,0,0,5,0,11,3
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,17,0,0,0,0,0,8,24
MEG_2452/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/CUSR,0,0,0,23,0,2,7,12,27,6
MEG_2909/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/FIEF,0,13,11,39,0,0,10,6,27,13
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,4,7,6,11,24,8,9,14,4
MEG_3242/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,446,234,500,603,519,530,547,493,414,379
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,7,3,13,10,0,0,5,2,2,13
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,22,0,0,0,0,0,0,0,0,0
MEG_7092/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,6,10,8,0,0,0,16,8,13,0
MEG_3627/Drugs/Lipopeptides/Colistin_resistant_mutant/LPXC/RequiresSNPConfirmation,0,0,0,40,20,0,0,0,0,24
MEG_7858/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,8,0,12,0,2,8,0,11,9
MEG_2061/Metals/Copper_resistance/Copper_resistance_protein/COPK,12,0,0,0,0,10,16,0,0,0
MEG_2801/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,6,17,1,40,57,3,4,3,14
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,2,0,7,0,3,0,0
MEG_7266/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,4,0,13,0,0,5,2,0,0
MEG_8087/Biocides/Aldehyde_resistance/Aldehyde_degradation/FORMA,0,0,6,37,19,15,10,6,12,0
MEG_7216/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,20,2,48,21,37,71,14,24,31,22
MEG_6132/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,139,65,0,82,0,146,115,100,85,90
MEG_4101/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/MUXB,0,0,0,81,0,39,46,51,27,37
MEG_6504/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILF,0,4,0,0,0,0,0,0,2,0
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,287,176,224,381,239,287,266,239,268,244
MEG_3224/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,66,59,56,73,50,74,33,65,40,45
MEG_4282/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,6,6,24,0,3,0,6,5,4
MEG_6163/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,2,0,0,0,0,0,0,0,0
MEG_402/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,120,24,174,0,20,0,49,30,38
MEG_6918/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,2,22,6,18,18,6,8,10,4
MEG_969/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,2,0,0,0,0,0,0,0
MEG_2446/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSA,0,16,0,44,0,42,51,47,91,0
MEG_6113/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,1607,1536,1964,2591,1831,2093,1897,1698,1901,1804
MEG_2678/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,1,2,0,0,0,0,0,1,0
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,40,0,12,0,0,0,0,18,0,0
MEG_6093/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,866,412,835,990,1174,1023,703,768,632,656
MEG_6964/Drugs/Tetracyclines/Tetracycline_resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,3233,2198,2680,3936,3738,5020,3386,3143,2222,3081
MEG_8674/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB,867,405,859,889,1089,1115,703,753,650,647
MEG_3990/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,856,406,885,908,1096,1168,825,852,620,641
MEG_467/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_1620/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,4,8,11,14,39,46,30,0,32,2
MEG_6116/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,51,0,0,0,0,0,0
MEG_2084/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,24,44,19,70,0,13,5,38,54,18
MEG_4371/Drugs/betalactams/Class_A_betalactamases/ORN,0,0,0,2,0,0,0,0,0,0
MEG_4288/Drugs/Multi_drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,0,0,14,0,0,0,0,0,0
MEG_7893/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_7117/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,3,2,11,9,15,22,8,12,11,12
MEG_7888/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_4102/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/MUXC,0,26,0,64,0,0,0,23,15,0
MEG_3239/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,53,0,0,0,0,0
MEG_7128/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,14,0,15,12,25,29,23,26,13,12
MEG_6501/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILC,0,16,8,41,0,0,0,10,0,0
MEG_1143/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,0,0,4,35,0,0,0,2,0,0
MEG_3803/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,0,0,0,4,0
MEG_6507/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILP,0,6,0,17,0,14,7,0,0,0
MEG_6522/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,27,0,0,0,0,0,0
MEG_2119/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,8,9,34,0,6,0,21,16,7
MEG_7484/Drugs/Glycopeptides/VanN_type_regulator/VANRN,0,0,0,0,30,0,0,0,0,0
MEG_7224/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,2,42,4,23,35,6,18,10,14
MEG_3993/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,225,149,257,299,371,369,236,284,197,253
MEG_6624/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,4,10,11,6,13,23,28,31,0,32
MEG_4244/Drugs/betalactams/Class_A_betalactamases/OKP,0,0,0,2,0,0,0,0,0,0
MEG_3076/Biocides/Acid_resistance/Acid_resistance_protein/GADA,0,0,0,0,0,0,13,0,31,0
MEG_7126/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,20,18,24,42,24,67,31,28,16,47
MEG_3063/Metals/Iron_resistance/Iron_resistance_regulator/FURA,0,0,0,3,0,0,0,0,0,0
MEG_4326/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,8,0,28,0,0,0,0,6,9
MEG_8675/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOCR/RequiresSNPConfirmation,575,269,589,765,796,760,562,595,519,499
MEG_7060/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,2,12,15,4,0,2,0,0
MEG_6879/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,2,0,2
MEG_2789/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,4,4,0,4,23,4,2,1,3
MEG_6506/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILP,0,22,7,38,0,0,18,22,12,10
MEG_6761/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2900/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,0,6,6,17,0,8,0,31,20,28
MEG_2927/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,0,0,2
MEG_3442/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/KAMB,24,0,0,0,0,0,0,0,0,0
MEG_6886/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7270/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/TRGB,0,0,0,0,0,0,0,0,0,14
MEG_391/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,0,0,2,0,2
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,24,8,44,27,15,53,28,34,20,22
MEG_8688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALB,50,0,0,0,80,0,68,58,46,0
MEG_7321/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,80,139,113,148,124,210,156,102,101,120
MEG_6621/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,14,13,20,4,10,9,24,16,0,15
MEG_5420/Metals/Copper_resistance/Copper_resistance_protein/PCOC,0,0,0,0,0,0,0,0,2,0
MEG_6520/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMDB,0,59,13,141,0,16,11,37,38,36
MEG_3977/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,10517,8846,12857,17168,10375,13010,12775,12149,12130,11392
MEG_7056/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,6,0,5,22,5,19,6,0,13,10
MEG_1599/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,1,0,0,0
MEG_3065/Drugs/Fusidic_acid/Fusidic_acid_resistant_mutation/FUSA/RequiresSNPConfirmation,402,267,307,706,393,530,367,281,352,316
MEG_456/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,2,0,0,0,0,0,0
MEG_6893/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_8/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,532,199,641,737,445,503,858,874,814,339
MEG_400/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,14,0,62,0,28,33,32,11,0
MEG_7223/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,16,8,14,22,9,7,6,9
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,22,13,27,15,17,0,15
MEG_1279/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,2,0,6,0
MEG_6516/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITD,0,27,0,43,0,0,0,0,40,38
MEG_5345/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,20,0,0,0,0,0,0,0
MEG_7058/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,2,3,8,15,15,17,17,3,33,14
MEG_1245/Drugs/betalactams/Class_A_betalactamases/BLAA,10,0,0,0,18,0,0,28,0,0
MEG_1193/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,14,10,35,0,9,10,14,20,25
MEG_1924/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,1,0,0,0,0,0,2,0
MEG_7470/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,0,0,0,16,0,0
MEG_4330/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,10,0,9,0,0,0,0,0,0
MEG_6154/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RUVBM,0,0,0,7,0,10,8,0,0,4
MEG_2788/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,0,0,10,10,0,7,0,1
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,67,0,0,0,0,0,0,0,0,0
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,44,0,0,0,0,0,0,0,0,0
MEG_3746/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,36,34,45,0,34,43,32,58,24
MEG_4186/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMF,0,0,0,0,22,0,0,0,0,0
MEG_6720/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,51,0,0
MEG_1656/Drugs/betalactams/Class_C_betalactamases/CFE,0,0,40,0,0,0,0,0,0,0
MEG_7040/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,94,112,140,165,114,159,159,100,152,139
MEG_486/Drugs/betalactams/Class_C_betalactamases/ACT,0,22,3,16,0,7,0,4,0,4
MEG_2690/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBB,0,0,0,19,0,0,4,0,5,0
MEG_6098/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,63,67,45,122,81,119,73,62,62,82
MEG_481/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,2,0,0,0,0,0,0
MEG_1593/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,9,0,0
MEG_7310/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1737,1447,2036,2601,1749,2251,2037,1771,2069,1718
MEG_5358/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,18
MEG_2946/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,239,128,241,384,230,246,182,203,239,192
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,2,10,2,8,8,4,6,0,0
MEG_3988/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,489,330,452,506,512,792,530,378,416,353
MEG_6048/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RCNA,0,0,0,0,0,0,0,6,7,0
MEG_6091/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,34,0
MEG_4162/Metals/Sodium_resistance/Sodium_resistance_protein/NHAA,0,0,6,9,0,0,6,0,18,6
MEG_9/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,769,519,796,1178,1108,1113,786,886,656,679
MEG_7125/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,5,24,19,21,52,26,15,17,22
MEG_6515/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITC,0,0,1,13,0,2,0,15,6,0
MEG_2088/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORB,0,22,17,72,0,24,20,22,23,12
MEG_4667/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,18,0,0
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,5,0,6,15,8,13,8,11,14,6
MEG_6655/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHA,0,4,2,20,0,0,9,2,18,0
MEG_6717/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_4010/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,26,6,59,10,16,10,17,35,6
MEG_6797/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6529/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,22,0,0,0,0,16,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,41,22,88,0,13,22,26,43,26
MEG_8145/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,114,0,0,0,0,54,0
MEG_7115/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,22,66,26,57,96,73,47,24,52
MEG_1983/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,8,2,0
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,4,2,4,0,0,0
MEG_2990/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,24,9,41,0,8,0,8,0,23
MEG_6801/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6153/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/RUVB,0,13,4,36,0,0,0,0,7,6
MEG_1014/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,0,0,16,0,0
MEG_6805/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_762/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,2,0,0,0
MEG_484/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_4209/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,0,0,0,0,22
MEG_6929/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_6084/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/ROSB,0,0,0,0,0,3,0,0,0,0
MEG_6874/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2867/Biocides/Acid_resistance/Acid_resistance_regulator/EVGA,0,0,0,0,0,0,4,0,14,0
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,3,0,16,6,14,22,11,13,15,19
MEG_8144/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,16,19,21,42,13,20,11,28,0,27
MEG_6549/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/SOXRB,0,2,2,17,1,1,7,3,5,4
MEG_6576/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SUGE,0,0,0,0,0,0,0,0,6,0
MEG_7474/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,26,0,0,18,0,16
MEG_5815/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTC,0,83,46,167,0,27,32,87,66,55
MEG_7167/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,8,4,4,4,2,0,0,2
MEG_6146/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSC/RequiresSNPConfirmation,1867,1597,2012,3046,1821,2270,1992,2038,1990,1857
MEG_3081/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,0,0,0,0,0,0,6,0,12,0
MEG_7301/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,116,89,111,241,114,157,165,111,179,91
MEG_426/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,2,0,0,0,0,0,0
MEG_6770/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3753/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,0,0,4,0,0,3,0,6,0
MEG_4175/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,0,0,2,0,0,0
MEG_4221/Metals/Nickel_resistance/Nickel_resistance_regulator/NRSS,0,0,2,0,0,0,0,0,0,0
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,71,33,48,51,64,70,65,50,30,42
MEG_7521/Drugs/Glycopeptides/VanN_type_regulator/VANSN,0,0,0,0,0,0,0,32,0,0
MEG_1176/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,4,2,15,0,0,0,3,2,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,5,0,13,16,0,1,0,4
MEG_4163/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,9,0,14,0,14,0,10,12,4
MEG_3947/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,0,36,26,113,0,28,20,28,69,26
MEG_1932/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,2,0
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,4,2,0,12,21,3,3,0,6
MEG_3882/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,0,0,0,0,0,0,0,12,0,0
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,66,0,0,71,0,46,56,34,46,0
MEG_6630/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,8,9,16,4,9,10,22,23,4,20
MEG_3597/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LMRD,0,0,0,0,0,0,0,64,0,0
MEG_1544/Drugs/betalactams/Class_A_betalactamases/CARB,0,0,0,0,0,0,7,0,0,0
MEG_6963/Drugs/Tetracyclines/Tetracycline_resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,973,472,556,773,843,1071,762,877,587,700
MEG_2729/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,30,11,94,0,16,15,24,29,26
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,7,11,10,8,3,0,16,4,15,13
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,54,71,66,167,27,82,50,85,73,99
MEG_6527/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,34,0,0,0,0,0,25
MEG_4334/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,12,0,10,0,8,5,0
MEG_6546/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,6,0,0,14,0,0,7,6,0
MEG_5389/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,32,0,0,0,0,0,0,0
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,2,4
MEG_7596/Drugs/Glycopeptides/VanA_type_accessory_protein/VANYA,0,0,0,0,0,0,0,0,1,0
MEG_4340/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,12,0,14,0,0,0,10,4,9
MEG_1743/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMED,0,0,0,0,0,0,0,0,26,0
MEG_6731/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_1986/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,8,0
MEG_2122/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,10,2,18,0,0,0,6,10,4
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,0,0,10,0,0,2,0,17,2
MEG_479/Drugs/betalactams/Class_C_betalactamases/ACT,0,1,0,5,0,0,0,1,0,0
MEG_3893/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,6,0,0,0,0,0,0
MEG_7866/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,0,11,4,18,0,0,0,7,7,7
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,2,0,4,6,0,3,1,0
MEG_5360/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,70,94,0,0,0,43,0
MEG_137/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,6,0,0
MEG_1165/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSD,0,2,0,2,0,0,0,3,4,0
MEG_6545/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,31,13,30,0,3,0,16,23,20
MEG_3295/Drugs/Mupirocin/Mupirocin_resistant_isoleucyl_tRNA_synthetase/ILES,710,370,642,818,947,947,609,712,511,642
