gene_accession,COR03u_t2_M_ON,COR02e_t2_M_ON,COR01u_t2_M_ON,COR01e_t2_M_ON,COR05e_t2_M_ON,COR04e_t2_M_ON,COR03e_t2_M_ON,COR05u_t2_M_ON,COR04u_t2_M_ON,COR02u_t2_M_ON
MEG_10/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,932,1741,734,1315,709,971,1034,1070,807,2420
MEG_4284/Drugs/betalactams/Mutant_porin_proteins/OMP38,0,0,0,0,0,0,0,0,0,6
MEG_2805/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,19,2,19,0,4,5,10,2,3
MEG_2714/Biocides/QACs_resistance/QAC_efflux_pump/EMEA,0,0,74,0,70,104,0,146,74,282
MEG_5773/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/PEXA,0,0,0,0,0,0,0,0,36,0
MEG_4056/Drugs/Cationic_antimicrobial_peptides/Defensin_resistant_mprF/MPRF,0,0,0,0,0,48,0,70,108,118
MEG_3908/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXE,0,0,0,0,0,0,15,0,0,44
MEG_3009/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,0,10,0
MEG_3863/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,1,0,0,0,0,0,0,0
MEG_4004/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODB,0,0,0,0,0,0,2,0,0,0
MEG_7520/Drugs/Glycopeptides/VanM_type_regulator/VANSM,0,86,48,0,0,50,0,78,48,136
MEG_7634/Drugs/MLS/Streptogramin_A_O_acetyltransferase/VATI,0,0,0,0,0,0,0,12,18,54
MEG_3636/Drugs/betalactams/Class_B_betalactamases/LRA,0,0,0,0,30,0,0,0,54,0
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,29,0,0,11,12,11,0,0,26
MEG_795/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_7161/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,2,46,6,26,10,13,6,0,0,38
MEG_4036/Drugs/MLS/Macrolide_phosphotransferases/MPHC,0,0,0,0,0,0,0,0,20,0
MEG_893/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,1,0,0,0,0,0,0
MEG_4051/Drugs/MLS/Macrolide_phosphotransferases/MPHN,0,0,0,0,0,0,0,0,60,0
MEG_2700/Drugs/Cationic_antimicrobial_peptides/Edeine_acetyltransferase/EDEQ,0,0,0,0,30,0,0,16,12,0
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,13,62,15,83,16,10,38,25,16,67
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,58,156,0,0,0,66,0,0,0,234
MEG_7031/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,18,0
MEG_1086/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,21,194,28,72,8,43,55,16,8,181
MEG_2765/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,8,0,0,16,0
MEG_5351/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,111,0,0,0,0,0,0,0,0
MEG_6676/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,1,0,0,0,0,0,0
MEG_5392/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,144,260,90,0,112,134,164,181,67,331
MEG_5397/Drugs/Fluoroquinolones/Fluoroquinolone_ABC_efflux_pump/PATA,0,0,0,0,0,0,0,0,80,0
MEG_7149/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,34,0,22,3,0,10,0,2,63
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,0,0,0,0,0,32,0,0,0
MEG_1161/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,0,0,0,0,0,15,0,14,0
MEG_3992/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,27160,79625,14690,47582,15547,23224,47982,31289,14120,87684
MEG_8230/Drugs/Lipopeptides/Colistin_resistant_mutant/LPSA,0,0,0,0,0,16,0,20,34,0
MEG_1474/Drugs/betalactams/Class_A_betalactamases/BRO,0,0,0,0,0,0,0,0,14,0
MEG_988/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,38,0,0,0,32,66,0,92,48,0
MEG_3641/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/LSA,0,0,0,0,84,216,0,172,166,390
MEG_2662/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,0,0,12,6,0
MEG_8456/Drugs/betalactams/Penicillin_binding_protein/PBP2/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,96,0
MEG_2639/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,1,0,0,0,0,0,0
MEG_4376/Drugs/betalactams/Class_B_betalactamases/ORR,0,0,0,0,0,14,0,0,0,0
MEG_1745/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEF,0,0,0,0,72,78,0,104,138,212
MEG_769/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,1,0,0,0,0,0,0
MEG_6117/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,89,206,62,106,54,94,108,93,63,212
MEG_7314/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,35,111,31,55,14,22,39,23,7,155
MEG_6950/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,1,0,0,0,0,0,0
MEG_1143/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,0,0,65,0,0,0,50,20,316,0
MEG_2957/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,24,0
MEG_8714/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET63,0,0,0,0,0,0,0,40,102,0
MEG_3977/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,11963,38608,9195,18851,13619,17430,13309,14606,9814,42030
MEG_2579/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRG,0,0,0,0,0,0,0,8,28,0
MEG_4282/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,0,0,14,0,0,0
MEG_7124/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,91,265,60,270,61,51,145,122,48,242
MEG_3023/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSK,0,0,0,0,0,0,0,62,0,0
MEG_935/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,54,0,52,36,0
MEG_4604/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,46,0
MEG_342/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,10,10,0
MEG_2824/Drugs/MLS/23S_rRNA_methyltransferases/ERMD,0,0,0,0,0,0,0,0,14,0
MEG_1478/Drugs/Glycopeptides/Bleomycin_resistance_protein/BRP,0,0,0,0,0,0,0,0,8,0
MEG_1172/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,0,0,4,0,0,0,0,0
MEG_2825/Drugs/MLS/23S_rRNA_methyltransferases/ERMD,0,0,0,0,0,0,0,0,16,0
MEG_6596/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,2,0,6,0,0,0,0,0,0
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_3643/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/LSA,0,0,0,0,0,0,0,0,46,0
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,134,307,64,0,117,120,106,108,79,379
MEG_1176/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,0,13,0,0,0,17,0,59,0
MEG_7512/Drugs/Glycopeptides/VanG_type_regulator/VANSG,0,0,0,0,0,0,0,0,20,0
MEG_2906/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FEXB,0,0,0,0,0,44,0,28,106,0
MEG_8074/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/DHPS/RequiresSNPConfirmation,0,0,0,0,0,526,0,410,1332,0
MEG_3744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,0,0,0,24,0,110,0
MEG_2959/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,4,0,0,0
MEG_7121/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,306,932,141,690,193,260,584,416,156,856
MEG_8638/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/POXT,0,0,0,0,0,0,0,0,42,0
MEG_8098/Drugs/betalactams/Class_A_betalactamases/FRI,0,0,0,0,0,0,0,0,12,0
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin_resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,440,433,274,127,316,347,277,446,348,621
MEG_3840/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,2,0,0,0,0,0,0
MEG_1218/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,0,0,0,0,0,0,0,28,18,0
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,0,0,0,0,0,0,30,0,0,0
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,26,48,0,0,19,0,29,36,32,72
MEG_7609/Drugs/Glycopeptides/VanF_type_accessory_protein/VANYF,0,0,0,0,0,0,0,0,46,0
MEG_3649/Drugs/betalactams/Class_A_betalactamases/LUS,0,0,0,0,0,12,0,48,42,66
MEG_7140/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,284,802,170,690,156,207,518,317,156,711
MEG_2498/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,2,0,0,0,0,0,0
MEG_3943/Drugs/Multi_drug_resistance/MDR_regulator/MGRA,0,0,0,0,0,30,0,0,18,130
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,0,0,32,0,0,0
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_6118/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,380,1118,271,467,349,387,691,534,315,1371
MEG_6558/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SRMB,0,255,0,0,0,0,0,0,0,0
MEG_6917/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7307/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,481,1352,282,862,204,476,482,456,228,1818
MEG_7272/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIAP,0,0,0,0,0,20,0,0,0,0
MEG_2454/Metals/Copper_resistance/Copper_resistance_protein/CUTA,0,0,0,0,0,26,0,34,20,0
MEG_7620/Drugs/MLS/Streptogramin_A_O_acetyltransferase/VATA,0,0,0,0,0,0,0,0,10,76
MEG_1063/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,12,0
MEG_3514/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNE,0,0,0,0,0,0,0,0,10,0
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,12,0,0,0,0,0,4,0,0,2
MEG_3847/Metals/Mercury_resistance/Mercury_resistance_protein/MERB,0,2,0,0,0,0,4,0,0,0
MEG_7588/Drugs/Glycopeptides/VanG_type_resistance_protein/VANXYG,0,0,0,0,0,0,0,0,18,0
MEG_4053/Drugs/Cationic_antimicrobial_peptides/Defensin_resistant_mprF/MPRF,0,0,0,0,0,0,0,0,90,0
MEG_2697/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/EBRA,0,0,0,0,0,0,0,0,6,0
MEG_772/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,5,0,11,2,0,4,0,0,2
MEG_6529/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,0,0,43,0,0,0
MEG_2653/Metals/Copper_resistance/Copper_resistance_protein/DNAK,95,261,108,58,84,125,204,161,81,433
MEG_1193/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,0,0,0,0,41,0,0,0
MEG_1619/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,3,0,0,0,0,0,0
MEG_6656/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHB,0,0,0,0,0,0,11,0,0,0
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,314,1289,296,256,499,646,486,518,380,1415
MEG_8712/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_2011/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/CNRH,0,12,0,0,0,0,0,0,0,0
MEG_3285/Metals/Nickel_resistance/Nickel_resistance_protein/HUPN,0,6,0,0,0,0,0,0,0,0
MEG_5836/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACF,0,0,0,0,0,0,0,0,8,0
MEG_2650/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DMEF,0,0,0,0,0,0,0,0,32,0
MEG_3516/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNO,0,0,0,0,0,0,38,4,0,0
MEG_3998/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MNTH,0,0,0,0,0,0,79,0,0,0
MEG_1638/Drugs/betalactams/Class_A_betalactamases/CBP,0,0,0,0,54,116,0,80,112,210
MEG_2125/Metals/Copper_resistance/Copper_resistance_protein/CRDB,0,0,0,0,0,70,0,0,186,0
MEG_1250/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,26,0,0,22,0
MEG_6624/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,59,46,14,116,10,26,24,12,12,108
MEG_4634/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,10,0
MEG_1748/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,54,0,0,0,0,0,8,30,0
MEG_746/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_3740/Drugs/Multi_drug_resistance/MDR_23S_rRNA_mutation/MDR23S/RequiresSNPConfirmation,41,49,29,0,30,35,0,0,53,87
MEG_3280/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,0,0,0,0,0,46,0
MEG_7163/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,58,143,46,117,31,46,82,95,10,212
MEG_2444/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,0,0,0,0,0,26,0,0,0
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,16,0,24,28,46
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,120,0,0,0,107,0,0,46,312
MEG_2120/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,0,0,0,6,0,0
MEG_7616/Drugs/Glycopeptides/VanA_type_accessory_protein/VANZA,0,14,0,0,0,0,0,6,20,0
MEG_7162/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,2,0,6,0,0,0,0,0,5
MEG_7115/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,283,790,112,533,141,217,472,305,102,652
MEG_3759/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,0,0,0,0,34,0,0
MEG_1713/Metals/Chromium_resistance/Chromium_resistance_protein/CHRC,0,0,0,0,0,0,0,14,0,0
MEG_3592/Drugs/MLS/Lincosamide_nucleotidyltransferases/LIN,0,0,0,0,0,62,0,104,62,0
MEG_6531/Biocides/Multi_biocide_resistance/Multi_biocide_MFS_efflux_pump/SMFY,0,0,0,0,0,0,9,0,20,0
MEG_7216/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,86,272,109,211,105,104,259,185,61,471
MEG_402/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,0,0,0,0,0,68,47,0,0
MEG_5367/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,130,445,58,0,64,110,172,156,78,474
MEG_6799/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_1744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,0,242,0,0,52,88,0,82,76,0
MEG_6539/Biocides/Multi_biocide_resistance/Multi_biocide_MFS_efflux_pump/SMVA,0,0,0,0,0,0,9,0,0,0
MEG_7135/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,115,369,75,360,76,88,198,145,51,307
MEG_4100/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/MUXA,0,0,0,0,0,0,0,0,10,0
MEG_785/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,2,0,0,0
MEG_3828/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFC,0,0,0,0,0,0,0,0,38,0
MEG_8409/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,16,18,0
MEG_1289/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,0,0,0,0,0,0,12,0
MEG_6603/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,3,0,0,0,0,0,0
MEG_2025/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,0,0,0,32,0
MEG_3839/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,4,0,0,0,0,0,0,0
MEG_413/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,0,0,8,0,0,0
MEG_2790/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,4,0,8,0,4,0,0,0,4
MEG_6625/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,55,37,13,116,23,20,13,12,13,125
MEG_8709/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7207/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,14,0,0,0,0,0,0
MEG_4215/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/NPMA,0,0,0,0,0,0,0,0,12,0
MEG_417/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,4,0,0,0
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,0,0,3,0,0,0
MEG_1737/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEA,0,0,0,0,0,0,0,64,50,0
MEG_2677/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,0,6,0,0,0
MEG_6123/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,90,275,55,133,104,151,86,95,84,266
MEG_4031/Drugs/MLS/Macrolide_phosphotransferases/MPHB,0,0,0,0,0,0,0,0,66,0
MEG_5849/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,0,0,0,6,0,0,0,0,0
MEG_7391/Drugs/Glycopeptides/VanE_type_resistance_protein/VANE,0,0,0,0,0,0,0,0,10,0
MEG_6644/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/TAP,0,0,0,0,0,0,7,0,0,0
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,0,56,0,0,0,0,78,27,0
MEG_8703/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_3845/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,0,18,0,0,0,0
MEG_4092/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,36,0
MEG_2960/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,34,46,0,0,36,78
MEG_4807/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,16,0
MEG_7982/Drugs/betalactams/Class_B_betalactamases/BLAB,36,0,0,0,0,0,54,0,18,0
MEG_2026/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,0,0,0,100,0
MEG_6962/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,0,0,0,0,14,0,0,0,0,0
MEG_3226/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,31,0,0,0,0,0,0,0,0,0
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,122,277,94,48,82,115,214,176,80,452
MEG_7682/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGA,0,0,0,0,0,0,0,0,58,0
MEG_1614/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,4,0,0,0,0,0,0
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,77,292,71,171,84,132,217,152,53,424
MEG_5327/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,65,0,0,0,0
MEG_972/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,3,0,0,0,0,0,0
MEG_6153/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/RUVB,0,0,0,0,0,0,11,0,0,0
MEG_2739/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/EPTA,0,0,0,0,0,0,0,42,0,0
MEG_2501/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,1,0,0,0,0,0,0
MEG_3975/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,520,1295,518,449,533,723,1145,883,427,2191
MEG_8008/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,14,0
MEG_7302/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,156,412,103,350,50,159,170,144,85,572
MEG_7320/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,28,105,23,0,17,20,17,25,8,147
MEG_6937/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_5374/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,14,43,31,24,0
MEG_2783/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,18,0,0,30,0
MEG_3414/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,0,0,10,0
MEG_3664/Drugs/betalactams/Class_C_betalactamases/MCA,0,0,0,0,0,0,0,0,56,0
MEG_2773/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,0,24,0
MEG_1681/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CFRA,0,0,0,0,0,0,0,0,28,0
MEG_7536/Drugs/Glycopeptides/VanL_type_resistance_protein/VANTRL,0,0,0,0,0,0,0,0,44,0
MEG_789/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,570,2038,450,1798,674,941,740,607,413,2140
MEG_279/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,52,146,0,0,20,38,0,0,24,254
MEG_1201/Drugs/betalactams/Class_B_betalactamases/BC,0,0,0,0,0,0,0,0,18,0
MEG_4741/Drugs/betalactams/Class_D_betalactamases/OXA,0,72,0,0,0,26,0,40,32,0
MEG_6731/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_3874/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,2,0,0,2,0,0,2,2
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,6,28,8,33,0,8,28,12,6,20
MEG_7247/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETZ,0,0,0,0,0,0,0,0,0,6
MEG_7485/Drugs/Glycopeptides/VanO_type_regulator/VANRO,0,12,0,0,0,0,0,0,0,0
MEG_6552/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS/RequiresSNPConfirmation,0,0,0,0,0,0,7,0,0,0
MEG_2888/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FBPA,0,0,0,0,0,0,0,26,32,0
MEG_835/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,32,0
MEG_2954/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,4,0,5,0,0,0,0,0,0
