gene_accession,CAC04u_t2_M_AB,CAC04e_t2_M_AB,CAC05u_t2_M_AB,CAC05e_t2_M_AB,CAC02u_t2_M_MB,CAC03u_t2_M_MB,CAC02e_t2_M_MB,CAC01u_t2_M_AB,CAC01e_t2_M_AB,CAC03e_t2_M_MB
MEG_6154/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RUVBM,9,0,6,0,0,0,18,0,0,0
MEG_4367/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,2,0,0,0
MEG_4163/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,34,0,0,0,4,0,14,0,16,19
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,8,0,0,0,0,4,0
MEG_4362/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,7
MEG_6120/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,204,359,210,0,376,470,215
MEG_1148/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,10,0,0,0,4,0,18,7,32,22
MEG_4125/Metals/Multi-metal_resistance/Multi-metal_MFS_efflux_pumps/NCRC,0,0,0,0,0,0,0,0,0,7
MEG_1730/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,76,0,0,50,96,0,0,64,0,82
MEG_7163/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,18,10,4,10,60,48,50,30,38,38
MEG_7591/Drugs/Glycopeptides/VanN-type_resistance_protein/VANXYN,0,0,0,0,0,0,0,0,8,0
MEG_6140/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,6,0,0,0,0,4,0,0,14,0
MEG_6566/Drugs/betalactams/Class_C_betalactamases/SRT,0,0,0,0,0,0,8,0,0,0
MEG_2477/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNB,120,0,60,0,108,0,0,42,106,36
MEG_3984/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,544,537,321,315,673,430,375,559,1208,506
MEG_6636/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,74,22,11,19,129,40,43,6,25,64
MEG_3192/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,25
MEG_2795/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,2,0,2,7,2,0
MEG_935/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,120,0,0,0,0,0,0,0,0,0
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,28,0,0,0,7,2,9,0,0,20
MEG_3739/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,0,0,0,0,0,0,30,25
MEG_8077/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,91,0,105,180,200,82,269,356,202
MEG_4284/Drugs/betalactams/Mutant_porin_proteins/OMP38,0,8,0,0,0,0,0,0,0,0
MEG_1191/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,38,36,0,0,0,0,42,30,53,61
MEG_8036/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/CPRS,0,0,0,38,0,0,0,0,0,34
MEG_414/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,21,0,0,0,0,0,11,0,0,26
MEG_1612/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,0,0
MEG_5830/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,2,0,0,0,0,0,0
MEG_3589/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,134,0,0,0,98
MEG_2900/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,34,0,0,0,34,0,35,0,0,30
MEG_5424/Metals/Copper_resistance/Copper_resistance_regulator/PCOR,0,0,0,38,0,0,0,0,40,74
MEG_6110/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,141,100,107,90,153,117,103,160,296,91
MEG_7181/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,0,0,0,0,6,0,0,0
MEG_3641/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/LSA,0,0,0,136,0,0,0,0,288,116
MEG_4188/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMI,0,0,0,0,0,0,0,0,0,12
MEG_7117/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,19,12,18,11,39,12,38,22,27,25
MEG_6143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/RPSJ/RequiresSNPConfirmation,10,16,7,4,4,0,4,2,0,0
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,25,0,0,0,32,0,44,9,28,24
MEG_4070/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,82,0
MEG_6109/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,344,286,300,338,464,313,239,399,698,369
MEG_7306/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,190,163,152,239,245,140,140,163,417,245
MEG_7620/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,0,44,0,0,22,0,0,0,0
MEG_5348/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,43,0,0,28,42,23,40,0,44,24
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,54,0,0,34,25,0,43,40,65,100
MEG_6877/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3604/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,10,8,0,0,0,0,6,6,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,10,3,0,3,8,7,2,0,7,12
MEG_3753/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,17,0,0,0,7,8,6,0,0,0
MEG_2791/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,4,7,3,5,22,12,10
MEG_7813/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YCHH,1,0,0,0,6,0,0,1,0,11
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,2,11,0,2,7,4,0
MEG_4334/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,18,0,0,0,0,0,0,0,6,10
MEG_3460/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KMRA,0,0,0,0,0,0,32,32,86,64
MEG_3765/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTP,62,0,0,0,0,16,30,0,14,36
MEG_3242/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,795,566,441,419,739,482,569,494,619,637
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,42,0,0,0,0,0,0,126,0
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,7,0,0,0,4,0,3,0,0,3
MEG_6596/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,0,0,0,0,4
MEG_2445/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,36,0,0,0,0,0,0,0,33,24
MEG_6635/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,2,0,0,0,0,0,4,0,0,2
MEG_3911/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,32,10,0,68,0,0,0,0,0
MEG_3281/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,0,0,0,0,46,0,0
MEG_1275/Drugs/betalactams/Class_C_betalactamases/BLAEC,6,0,0,0,0,12,0,0,0,0
MEG_3754/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,12,0,0,0,0,4,6,0,0,0
MEG_6164/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,6,8,0,0,0,0,0,0
MEG_5775/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PFR,0,0,0,0,0,32,0,0,0,0
MEG_6546/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,42,0,0,0,0,0,34,0,57,28
MEG_7081/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,12,0,0,35,0,0,0,0,62
MEG_8446/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,56,0,0,0,0,0,8,22,8,30
MEG_7266/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,0,0,0,0,10
MEG_7132/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,90,22,60,62,174,66,109,33,77,59
MEG_2714/Biocides/Quaternary_Ammonium_Compounds_(QACs)_resistance/QAC_efflux_pump/EMEA,0,112,104,124,184,86,70,100,152,130
MEG_4208/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,0,0,22,0,0
MEG_7865/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,21,0,0,0,0,0,0,0,8,16
MEG_1323/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,0,40
MEG_730/Drugs/betalactams/Penicillin_binding_protein/AMPH,7,7,0,0,0,0,32,12,14,18
MEG_3512/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,63,14,0,0,0,10,29,22,35,48
MEG_5825/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,4,0,0,0,0,0,0,0,0,0
MEG_7047/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,147,149,103,124,158,140,168,94,175,207
MEG_2937/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,56,56,68,0,0,84,0,36
MEG_6610/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,2,0,0,0,0,2
MEG_5826/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,0,4,0,6,0,0,0,0
MEG_6506/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILP,0,0,0,0,0,0,0,0,58,64
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,110,0,0,82,136,0,58,0,0,112
MEG_2063/Metals/Copper_resistance/Copper_resistance_protein/COPL,0,0,0,40,0,0,0,0,0,0
MEG_151/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,1,0,0,0
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,26,0,0,0,19,7,3,0,16,0
MEG_7003/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET50,0,80,0,0,134,98,62,90,0,86
MEG_3214/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,527,318,314,236,443,259,248,444,506,239
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1495,1807,1772,1385,1791,1453,1553,1539,1595,2481
MEG_2614/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/DHAP,0,20,0,0,0,0,0,0,0,0
MEG_3177/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,51,32,0,25,0,0,0,34,71,28
MEG_6108/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,462,243,200,190,350,236,257,206,438,283
MEG_3246/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,187,139,161,169,242,150,160,275,305,242
MEG_2846/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,0,4,0,10,13,32,85,21
MEG_6962/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,0,0,0,0,10,0,0,0,0,0
MEG_5163/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,68,0,0,0,0,0
MEG_6614/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_3977/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,21472,17360,15270,13979,19188,13473,19167,14460,22959,20964
MEG_1107/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/ARIR,7,0,0,8,2,0,0,0,0,8
MEG_1642/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CDSA/RequiresSNPConfirmation,18,0,0,0,0,0,0,0,0,0
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,120,0,104,111,69,76,166,260,99
MEG_4576/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,10,0,0
MEG_1003/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,0,0,0,8,0,0,74,0
MEG_75/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,15,0,0
MEG_3947/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,89,0,0,0,97,40,58,86,127,59
MEG_74/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,8,0,0,0,0,0
MEG_5786/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_regulator/PHOR,55,16,0,0,0,0,22,0,26,35
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,2,0,0,8,6,10,0,8,4
MEG_8008/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,22,30,0,14,0,0,0
MEG_2448/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,13,0,0,0,6,10,2,0,0,0
MEG_989/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,34,10,0,0,0,56,54,84
MEG_4639/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,14
MEG_705/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADET1,0,0,0,20,32,16,0,34,0,32
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,30,46,36,48,56,62,54,58,68,50
MEG_5409/Drugs/betalactams/Penicillin_binding_protein/PBP4B,29,0,0,0,10,12,2,0,0,10
MEG_1412/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,36,0,0,0,0,0
MEG_4004/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODB,7,0,0,0,0,3,4,0,0,2
MEG_2136/Metals/Copper_resistance/Copper_resistance_regulator/CSOR,0,0,0,0,0,0,0,4,0,0
MEG_5784/Drugs/Lipopeptides/Colistin-resistant_mutant/PHOP/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,17
MEG_2478/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNC,0,0,0,0,0,0,0,102,0,0
MEG_1153/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,13,0,0,0,0,0,13,0,9,18
MEG_8247/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MEXC1,0,0,0,0,0,0,0,0,100,0
MEG_2770/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,22,0,0,10,0,16,0,10
MEG_415/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRS,17,0,0,0,4,4,0,0,0,0
MEG_8648/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,2,0,0,0,0,0,0
MEG_3229/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,30,0,0,24,0,0,0
MEG_8450/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,49,0,0,26,32,0,0,60,68,29
MEG_6621/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,50,27,19,19,147,46,31,5,17,70
MEG_4347/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,11
MEG_2458/Metals/Copper_resistance/Copper_resistance_protein/CUTF,29,0,0,0,0,6,5,0,4,38
MEG_7824/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEB,79,97,104,103,122,121,150,88,146,150
MEG_6627/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,76,21,12,25,132,22,39,2,23,56
MEG_2931/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,6,0,0,0,0,0,0,0,4
MEG_7485/Drugs/Glycopeptides/VanO-type_regulator/VANRO,0,0,0,0,0,0,0,0,0,10
MEG_8687/Drugs/Mycobacterium_tuberculosis-specific_Drug/MDR_mutant_promoter/RV0678/RequiresSNPConfirmation,0,0,0,0,0,0,12,0,0,0
MEG_3078/Biocides/Acid_resistance/Acid_resistance_protein/GADB,11,0,0,0,6,20,2,0,0,4
MEG_7317/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,604,353,267,413,404,280,278,414,676,391
MEG_2947/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,38,0,0,0,0,0
MEG_3588/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,24,0,0,0,0,0,24
MEG_2378/Drugs/betalactams/Class_A_betalactamases/CTX,12,5,3,0,0,5,0,80,39,8
MEG_8145/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,199,93,0,0,214,280,0
MEG_2985/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,0,0,0,4
MEG_5362/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,34,0,0,0,34,0
MEG_256/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,14
MEG_4359/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,5,8,0,14
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,6,24,0,0,8,19
MEG_6057/Drugs/MLS/23S_rRNA_methyltransferases/RLMA,0,0,0,0,0,0,0,18,0,0
MEG_1284/Drugs/betalactams/Class_C_betalactamases/BLAEC,8,0,0,0,2,0,0,0,0,0
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,14,0,4,0,0,0,4,0,8,2
MEG_7169/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,12,10,4,6,50,18,12,14,14,22
MEG_306/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,8,0,0,0
MEG_3239/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,221,0,0,0,0,0,0,0,208,0
MEG_811/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_5149/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,12,0,0
MEG_4012/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,11,0,0,0,10,14,0,0,18,36
MEG_2475/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CZCS,0,0,4,0,0,0,0,0,0,0
MEG_3535/Drugs/betalactams/Class_A_betalactamases/LAP,0,0,0,0,9,0,0,0,0,0
MEG_7607/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,0,0,0,58,0,0,0,0,0
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,69,55,0,73,81,50
MEG_6158/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,6,0,0,0,0,0
MEG_410/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,138,0,0,0,107,36,22,0,0,66
MEG_8234/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MACAB/RequiresSNPConfirmation,0,0,0,14,0,0,0,6,0,14
MEG_3238/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,80,39,41,48,76,26,67,33,124,71
MEG_2899/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,31,0,0,0,0,0,40,0,0,42
MEG_1655/Metals/Chromium_resistance/Chromate_ABC_efflux_pump/CEUE,0,0,0,0,0,0,0,0,0,76
MEG_1743/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMED,0,0,0,0,48,0,0,48,0,0
MEG_385/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,0,0,0,2,0
MEG_997/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,10,0,0,0,0,0
MEG_1179/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/ASMA,9,0,0,0,0,0,26,0,35,91
MEG_8142/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GRLA/RequiresSNPConfirmation,0,0,0,80,0,0,0,22,44,49
MEG_4303/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OPRZ,0,0,2,0,0,15,0,2,0,0
MEG_3663/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARR,6,0,0,0,0,2,1,0,0,2
MEG_1488/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADX,0,22,26,18,34,50,16,32,14,34
MEG_2789/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,0,2,2,0,5,13,10,2
MEG_7987/Drugs/betalactams/Class_B_betalactamases/BLAB,14,0,0,0,0,0,0,0,16,0
MEG_7868/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,6,0,0,0,0,4,6,18,0,0
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,0,4,0,24,12,6,8,16,20
MEG_6134/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,18,0,0,39,0,30,0,0,0
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,128,112,168,116,243,109,139,130,206,143
MEG_8739/Drugs/betalactams/Class_B_betalactamases/VMB,0,0,0,10,0,0,0,0,0,0
MEG_1052/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,0,0,62
MEG_6104/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,311,0,0,130,380,0,186,0,485,221
MEG_7475/Drugs/Glycopeptides/VanD-type_regulator/VANRD,0,0,0,0,0,0,0,0,0,10
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,19,6,7,2,27,19,27,8,13,14
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,8,0,4,28,6,4,4,4,10
MEG_718/Drugs/betalactams/Class_B_betalactamases/ALG,30,0,0,0,0,0,0,0,0,0
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,59,0,0,33,58,0,37,54,79,62
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,50,22,29,10,135,56,90,39,76,73
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,0,16,0,0,11,21,92,17
MEG_2954/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,2,0,0,2,0,0,6,0,0,4
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,70,2,2,0,22,24,34,18,28,56
MEG_3282/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,0,0,0,0,34,0,0
MEG_3140/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,6,0,0,0,4,0,2,0,0,16
MEG_2089/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,48,0,14,6,34,11,36,32,24,16
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,96,172,68,0,120,268,106
MEG_7046/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,161,148,115,110,201,175,170,91,197,210
MEG_7829/Metals/Copper_resistance/Copper_resistance_regulator/YFMP,0,0,0,0,0,0,10,38,0,0
MEG_2798/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,28,0,36,16,0
MEG_7091/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETK,0,0,0,0,14,0,0,12,0,0
MEG_3662/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,9,0,0,10,4,0,0,0,3,1
MEG_2894/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/FECD,32,0,0,0,0,0,0,0,0,0
MEG_5787/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PITA,111,14,25,45,64,44,41,56,41,61
