gene_accession,HBB06e_t2_M_BC,HBB06u_t2_M_BC,HBB07u_t2_M_BC,HBB07e_t2_M_BC,HBB10e_t2_M_BC,HBB08e_t2_M_BC,HBB09e_t2_M_BC,HBB08u_t2_M_BC,HBB09u_t2_M_BC,HBB10u_t2_M_BC
MEG_4357/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,4,0
MEG_8289/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPK/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,14,8
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,18,10
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,9,10,0,5,16,3,100,0,13,6
MEG_6048/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RCNA,0,0,0,0,0,0,0,0,0,2
MEG_6124/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,89,54,81,102,146,104,71,99,121,174
MEG_7317/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,116,238,151,162,243,198,238,147,239,319
MEG_2730/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,0,8,0,14,0,0,0,0,0
MEG_2061/Metals/Copper_resistance/Copper_resistance_protein/COPK,0,18,0,0,0,0,14,0,0,0
MEG_7143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,14,13,27,47,32,27,16,15,61,64
MEG_6908/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,2
MEG_3081/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,0,0,5,0,0,0,0,0,0,0
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,71,61,100,109,53,117,45,81,160,118
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,2,0
MEG_2496/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,2,0,0,1,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,23,0,0,0,17,20
MEG_7204/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETU,0,0,0,0,0,4,0,0,0,0
MEG_1491/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/CARA,0,0,0,0,38,0,0,0,0,66
MEG_756/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,1,0,0,1,0
MEG_8686/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,2,6,0,0,4,16,2,0,2,2
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,26,0,21,0,0,54,0,0,0,92
MEG_5393/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,7,0,0,0,0,4
MEG_3984/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,198,168,229,212,200,307,168,241,372,297
MEG_5380/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,36,32,0,24,0,0,0,0,0
MEG_7321/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,108,95,123,321,366,283,161,221,409,280
MEG_1058/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,4,3,5,0,8,1,0,7,8,0
MEG_6027/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRS,0,0,0,0,0,0,0,0,0,4
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,77,104,83,0,84,76,66,78,125,119
MEG_6098/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,83,90,86,143,209,125,93,135,161,213
MEG_6707/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,2,4
MEG_6577/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,0,2,0,1,0,0,0,0,0
MEG_3748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,0,0,0,23,0,28,0,17,31
MEG_6938/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,18,2
MEG_2522/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,0,0,3
MEG_6913/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,4,2
MEG_8142/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GRLA/RequiresSNPConfirmation,0,0,0,0,30,20,0,0,40,59
MEG_4670/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,5,0,0,0,0
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,40,27,0,20,19,26,22,23,57,37
MEG_5424/Metals/Copper_resistance/Copper_resistance_regulator/PCOR,0,0,0,0,0,0,0,0,14,16
MEG_6136/Drugs/Multi-drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,70,83,66,111,137,113,63,103,180,185
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,175,234,289,285,781,640,354,370,532,570
MEG_3143/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,0,0,24,0,49,0,0,0,29,25
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,0,0,5,0,6,0,0,0,0,2
MEG_4060/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,0,32,0,0,0,0,0
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,24,0,40,93,58,14,109,48
MEG_1163/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,0,0,0,0,0,0,2,0
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,4,2,2,6,0,2,2,0,0
MEG_3600/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,1,0,0,0,0,0,0,0
MEG_1747/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,0,0,0,0,0,0,16,0,0
MEG_7884/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,13
MEG_6100/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,329,400,528,296,553,412,285,346,391,697
MEG_1466/Biocides/Polyamine_resistance/Spermine/spermidine_acetyltransferase/BLTD,0,0,0,0,0,0,0,0,0,10
MEG_1183/Drugs/betalactams/Class_A_betalactamases/AST,0,0,0,0,0,0,0,34,0,0
MEG_7129/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,20,23,26,65,61,53,29,53,127,78
MEG_2724/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,0,0,2,0,6,8,20,0,0,12
MEG_2873/Biocides/Phenolic_compound_resistance/Triclosan-resistant_mutation/FABG/RequiresSNPConfirmation,22,44,75,48,88,56,93,42,30,120
MEG_941/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_3243/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,65,87,57,70,46,0,82,0
MEG_4409/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,2,0,0,0,0
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,0,0,2,0,0,0,0,0,0,0
MEG_2909/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/FIEF,0,0,12,0,11,0,0,0,0,4
MEG_4345/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,4,0
MEG_7104/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,87,72,87,236,187,119,91,83,258,270
MEG_6629/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,30,25,34,9,40,42,21,33,22,86
MEG_3983/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,0,1958,2890,2659,2593,2173,1863,2758,3944,0
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,54,26,36,77,55,55,34,44,99,128
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,11,0,11,0,11,14
MEG_7634/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATI,0,0,0,0,0,16,0,0,0,0
MEG_7312/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,1413,1746,2570,1538,2018,1839,1291,1929,2512,3253
MEG_938/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_6700/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,6,2
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,0,0,0,0,11,0,14,0,10,9
MEG_3142/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,0,0,0,0,0,0,0,0,5
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,8,7,18,19,18,0,13,2,12,20
MEG_3622/Biocides/Acetate_resistance/Acetate_resistance_protein/LPDT,0,0,14,0,28,0,0,0,0,14
MEG_7139/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,8,0,3,12,14,12,8,19,32,23
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,3,0,0,0,0,0,0
MEG_6657/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6142/Drugs/Mycobacterium_tuberculosis-specific_Drug/Pyrazinamide-resistant_mutant/RPSA/RequiresSNPConfirmation,198,100,233,194,118,212,100,176,275,238
MEG_6815/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,6,0
MEG_6842/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,664,542,1028,1422,2651,2388,1162,1715,2712,1586
MEG_3587/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,14,0,0,0,0,0
MEG_6865/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,17,10,27,0,16,27
MEG_6127/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,0,0,54,0,0
MEG_4194/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMJ,0,0,0,0,26,0,0,0,0,0
MEG_7126/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,37,25,47,91,73,58,35,73,140,106
MEG_2483/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,0,0,1
MEG_6617/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,42,21,44,25,29,64,22,55,30,145
MEG_2920/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,0,0,5
MEG_2529/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,2,0,0,0,0
MEG_6509/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILS,0,0,0,0,0,0,0,0,13,10
MEG_3620/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUG,0,26,0,0,22,0,0,0,0,0
MEG_6751/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,8,2
MEG_2954/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_407/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,10,0,34,0,0,0,0,10
MEG_2729/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,0,7,0,19,0,0,0,10,3
MEG_3993/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,197,181,263,283,241,324,173,245,372,341
MEG_2992/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,20,0,16,0,0,0,0,0
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,8,4
MEG_7305/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,92,79,116,162,111,182,85,132,197,156
MEG_2455/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,4,0,8,0,0,0,0,0
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,0,0,9,0,16,8,0,0,11,21
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,2,21,38,0,0,0,14,28
MEG_2898/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETA,0,30,36,0,76,42,32,50,42,40
MEG_6771/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,2,14,14,26,23,19,8,25,43,40
MEG_3/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,559,481,815,1246,1696,1468,808,1188,1942,1370
MEG_6950/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,2,2,0,2,0
MEG_6697/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,4,2
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,68,0,63,0,148,96,0,63,154,182
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,15,0,0,0,18,64,28,0,217,84
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,120,150,269,134,239,139,70,110,209,264
MEG_1042/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,13,0,0,0,0
MEG_1620/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,31,35,6,8,30,7,22,0,28,15
MEG_6113/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,1540,1945,3124,1766,2352,1927,1414,1913,2180,3633
MEG_7169/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,2,0,7,0,4,6,2,8,18
MEG_6625/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,23,12,26,16,26,54,30,33,28,106
MEG_5777/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PGPA,0,0,0,0,0,0,0,1645,0,0
MEG_6932/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3271/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/HNS,0,0,4,8,10,1,25,0,0,15
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,80,96,125,70,159,126,160,144,119,195
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,75,61,82,178,154,120,74,81,210,220
MEG_6520/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMDB,0,0,0,0,0,0,0,0,0,34
MEG_2448/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,0,2,0,7,0,0,0,0,0
MEG_3175/Drugs/Lipopeptides/Daptomycin-resistant_mutant/GSHF/RequiresSNPConfirmation,0,0,82,46,572,336,164,282,377,162
MEG_6888/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_8707/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7516/Drugs/Glycopeptides/VanM-type_regulator/VANSM,0,10,0,0,0,0,0,0,0,0
MEG_6931/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,4,0
MEG_400/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,21,26,0,37,0,20,39
MEG_7622/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATB,12,0,0,0,0,0,0,0,0,0
MEG_3980/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,406,318,437,521,633,584,397,538,887,565
MEG_6691/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_1783/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMX,0,0,1,0,0,0,0,0,10,0
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,31,25,36,85,73,43,16,30,105,68
MEG_7264/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,4,0,10,0,0,0,0,10
MEG_6586/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,0,0,0,2
MEG_6599/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,2,0,0,0,0
MEG_4167/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKA,0,0,8,0,20,6,0,0,12,10
MEG_3763/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTN,0,0,4,0,14,0,0,0,0,12
MEG_6621/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,13,12,19,23,22,44,20,18,22,91
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,0,3,0,9,0,0,0,2,4
MEG_6872/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2116/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,0,0,0,0,5,0
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1027,0,970,1040,936,1337,1074,1145,2550,1014
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,66,0,0,24,85,44
MEG_1054/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,2,8,0,0,15,4,5,2,15,4
MEG_3010/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,2,0,0,0,0
MEG_2454/Metals/Copper_resistance/Copper_resistance_protein/CUTA,0,0,0,0,36,0,0,0,0,0
MEG_1785/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMX,0,0,0,4,0,0,0,0,2,0
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,21,15,22,46,41,51,32,37,56,63
MEG_1087/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,1,7,0,0,3,0,3,7,8,14
MEG_3621/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUP,0,0,0,0,0,0,0,0,0,68
MEG_4383/Drugs/Tetracyclines/Tetracycline_resistance_ABC_efflux_pumps/OTRC,34,0,0,0,0,0,0,0,72,0
MEG_5816/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,0,0,13,0,16,0,0,0,2,18
MEG_6546/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,0,0,11,0,0,0,0,0,14
MEG_6723/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6887/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6795/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,4,0,0,2,0
MEG_7227/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,0,0,0,0,0,9
MEG_6689/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,6,2,0,12,6
MEG_7201/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,0,0,0,30,12,0,9,0,16
MEG_3177/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,19,0,20,0,31,0,0,0,30
MEG_3516/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNO,0,0,0,0,8,0,0,0,12,5
MEG_2090/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,36,0,0,26,24,42,38,14,8,26
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,145,172,318,256,304,232,198,161,217,340
MEG_8646/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACD,0,0,0,28,0,0,0,0,0,0
MEG_7837/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/YJCG,0,0,8,3,34,0,44,0,20,39
MEG_2093/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,0,0,0,0,3,0,0,0,0,3
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,38,24,37,102,81,59,13,39,89,90
MEG_4168/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,0,0,0,0,0,0,12,6,4
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,33,0,46,0,20,57,37
MEG_6744/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7112/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,7,13,7,11,19,15,8,14,25,22
MEG_3597/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LMRD,0,0,0,100,64,0,0,0,0,0
MEG_5817/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,0,0,0,0,9,0,0,0,0,8
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,18,27,65,113,57,66,22,43,62,105
MEG_6737/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,2,0
MEG_7222/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,2,0,0,0,0,0,2
MEG_7592/Drugs/Glycopeptides/VanA-type_accessory_protein/VANYA,0,0,0,0,14,0,0,0,0,0
MEG_6678/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7108/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,23,17,30,96,32,46,37,41,53,48
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6829/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,6,2
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,3,12,2,0,17,0,9,20,12,14
MEG_6835/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,6,2
MEG_6683/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2739/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/EPTA,0,0,14,0,24,0,0,0,0,8
MEG_5830/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,0,0,2,0,0,0,0
MEG_3141/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,0,2,0,0,0,0,0,0,0
MEG_6928/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6780/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,6,0
MEG_6611/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,2,0,0,0,0
MEG_2692/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBC,0,0,0,0,9,0,0,0,0,2
MEG_2867/Biocides/Acid_resistance/Acid_resistance_regulator/EVGA,0,0,0,0,1,0,0,0,0,0
MEG_7019/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,3,0,2,0,0,2,0,0,0,3
MEG_7058/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,10,13,0,3,21,0,48,0,31,2
MEG_2689/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,0,0,0,0,0,0,0,0,0,6
MEG_1210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,2,0,5,0,0,0,6,10
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,12,0,0,0,0,0,0,0,0,0
MEG_7231/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,4,0,2,0,4,0,0,0,3
MEG_1064/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,0,0,19,0,0,0,0
MEG_3592/Drugs/MLS/Lincosamide_nucleotidyltransferases/LIN,0,80,0,0,0,0,0,0,0,0
MEG_6507/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILP,0,0,0,0,0,0,0,0,26,58
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,10,16,17,34,30,20,7,22,35,61
MEG_7144/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,13,13,31,32,31,16,23,39,53
